text,author,id
"In earlier days she had loved her papa, who now sat in a darkened room, breathing with difficulty; she had loved her aunt who used to come every other year from Bryansk; and before that, when she was at school, she had loved her French master.",AC,dummy
"She was a gentle, soft-hearted, compassionate girl, with mild, tender eyes and very good health.",AC,dummy
"At the sight of her full rosy cheeks, her soft white neck with a little dark mole on it, and the kind, naïve smile, which came into her face when she listened to anything pleasant, men thought, ""Yes, not half bad,"" and smiled too, while lady visitors could not refrain from seizing her hand in the middle of a conversation, exclaiming in a gush of delight, ""You darling!""",AC,dummy
"The house in which she had lived from her birth upwards, and which was left her in her father's will, was at the extreme end of the town, not far from the Tivoli.",AC,dummy
"In the evenings and at night she could head the band playing, and the crackling and banging of fireworks, and it seemed to her that it was Kukin struggling with his destiny, storming the entrenchments of his chief foe, the indifferent public; there was a sweet thrill at her heart, she had no desire to sleep, and when he returned home at day-break, she tapped softly at her bedroom window, and showing him only her face and one shoulder through the curtain, she gave him a friendly smile.",AC,dummy
"He proposed to her, and they were married.",AC,dummy
"And when he had a closer view of her neck and her plump, fine shoulders, he threw up his hands, and said:  ""You darling!""",AC,dummy
"He was happy, but as it rained on the day and night of his wedding, his face still retained an expression of despair.",AC,dummy
"She used to sit in his office, to look after things in the Tivoli, to put down the accounts and pay the wages.",AC,dummy
"And her rosy cheeks, her sweet, naïve, radiant smile, were to be seen now at the office window, now in the refreshment bar or behind the scenes of the theatre.",AC,dummy
"Yesterday we gave 'Faust Inside Out,' and almost all the boxes were empty; but if Vanitchka and I had been producing some vulgar thing, I assure you the theatre would have been packed.",AC,dummy
"Like him she despised the public for their ignorance and their indifference to art; she took part in the rehearsals, she corrected the actors, she kept an eye on the behaviour of the musicians, and when there was an unfavourable notice in the local paper, she shed tears, and then went to the editor's office to set things right.",AC,dummy
"The actors were fond of her and used to call her ""Vanitchka and I,"" and ""the darling""; she was sorry for them and used to lend them small sums of money, and if they deceived her, she used to shed a few tears in private, but did not complain to her husband.",AC,dummy
"They took the theatre in the town for the whole winter, and let it for short terms to a Little Russian company, or to a conjurer, or to a local dramatic society.",AC,dummy
"Olenka grew stouter, and was always beaming with satisfaction, while Kukin grew thinner and yellower, and continually complained of their terrible losses, although he had not done badly all the winter.",AC,dummy
"He used to cough at night, and she used to give him hot raspberry tea or lime-flower water, to rub him with eau-de-Cologne and to wrap him in her warm shawls.",AC,dummy
"she used to say with perfect sincerity, stroking his hair.",AC,dummy
"Towards Lent he went to Moscow to collect a new troupe, and without him she could not sleep, but sat all night at her window, looking at the stars, and she compared herself with the hens, who are awake all night and uneasy when the cock is not in the hen-house.",AC,dummy
"Kukin was detained in Moscow, and wrote that he would be back at Easter, adding some instructions about the Tivoli.",AC,dummy
"But on the Sunday before Easter, late in the evening, came a sudden ominous knock at the gate; some one was hammering on the gate as though on a barrel— boom, boom, boom!",AC,dummy
"The drowsy cook went flopping with her bare feet through the puddles, as she ran to open the gate.",AC,dummy
"""Please open,"" said some one outside in a thick bass.",AC,dummy
"YEVGRAF IVANOVITCH SHIRYAEV, a small farmer, whose father, a parish priest, now deceased, had received a gift of three hundred acres of land from Madame Kuvshinnikov, a general's widow, was standing in a corner before a copper washing-stand, washing his hands.",AC,dummy
"As usual, his face looked anxious and ill-humoured, and his beard was uncombed.",AC,dummy
"""It's not weather, but a curse laid upon us.",AC,dummy
"He grumbled on, while his family sat waiting at table for him to have finished washing his hands before beginning dinner.",AC,dummy
"Fedosya Semyonovna, his wife, his son Pyotr, a student, his eldest daughter Varvara, and three small boys, had been sitting waiting a long time.",AC,dummy
"The boys—Kolka, Vanka, and Arhipka—grubby, snub-nosed little fellows with chubby faces and tousled hair that wanted cutting, moved their chairs impatiently, while their elders sat without stirring, and apparently did not care whether they ate their dinner or waited....  As though trying their patience, Shiryaev deliberately dried his hands, deliberately said his prayer, and sat down to the table without hurrying himself.",AC,dummy
"The sound of carpenters' axes (Shiryaev was having a new barn built) and the laughter of Fomka, their labourer, teasing the turkey, floated in from the courtyard.",AC,dummy
"Big, sparse drops of rain pattered on the window.",AC,dummy
"Pyotr, a round-shouldered student in spectacles, kept exchanging glances with his mother as he ate his dinner.",AC,dummy
"Several times he laid down his spoon and cleared his throat, meaning to begin to speak, but after an intent look at his father he fell to eating again.",AC,dummy
"At last, when the porridge had been served, he cleared his throat resolutely and said:  ""I ought to go tonight by the evening train.",AC,dummy
"""Well, go,"" Shiryaev assented; ""why are you lingering on here?",AC,dummy
"Pack up and go, and good luck to you.""",AC,dummy
"""He must have money for the journey, Yevgraf Ivanovitch,"" the mother observed in a low voice.",AC,dummy
"To be sure, you can't go without money.",AC,dummy
"Take it at once, since you need it.",AC,dummy
"""The fare to Moscow is eleven roubles forty-two kopecks....""  ""Ah, money, money!""",AC,dummy
"(He always sighed when he saw money, even when he was receiving it.)",AC,dummy
"After waiting a little, the student said:  ""I did not get lessons quite at first last year.",AC,dummy
"""You will have to make ten do,"" he said.",AC,dummy
"""Here, take it.""",AC,dummy
"He ought to have asked him for something more, for clothes, for lecture fees, for books, but after an intent look at his father he decided not to pester him further.",AC,dummy
"The mother, lacking in diplomacy and prudence, like all mothers, could not restrain herself, and said:  ""You ought to give him another six roubles, Yevgraf Ivanovitch, for a pair of boots.",AC,dummy
"Why, just see, how can he go to Moscow in such wrecks?""",AC,dummy
"""He must have trousers, anyway; he is a disgrace to look at.""",AC,dummy
"And immediately after that a storm-signal showed itself, at the sight of which all the family trembled.",AC,dummy
"Shiryaev's short, fat neck turned suddenly red as a beetroot.",AC,dummy
"The colour mounted slowly to his ears, from his ears to his temples, and by degrees suffused his whole face.",AC,dummy
"Fedosya Semyonovna, as though she did not grasp what was happening to her husband, went on:  ""He is not a little boy now, you know; he is ashamed to go about without clothes.""",AC,dummy
"Shiryaev suddenly jumped up, and with all his might flung down his fat pocket-book in the middle of the table, so that a hunk of bread flew off a plate.",AC,dummy
"A revolting expression of anger, resentment, avarice—all mixed together—flamed on his face.",AC,dummy
"He jumped up from the table, clutched at his head, and ran staggering about the room.",AC,dummy
"Fedosya Semyonovna, who had not after twenty-five years grown used to her husband's difficult character, shrank into herself and muttered something in self-defence.",AC,dummy
"An expression of amazement and dull terror came into her wasted and birdlike face, which at all times looked dull and scared.",AC,dummy
"The little boys and the elder daughter Varvara, a girl in her teens, with a pale ugly face, laid down their spoons and sat mute.",AC,dummy
"Shiryaev, growing more and more ferocious, uttering words each more terrible than the one before, dashed up to the table and began shaking the notes out of his pocket-book.",AC,dummy
"he muttered, shaking all over.",AC,dummy
"""You've eaten and drunk your fill, so here's money for you too!",AC,dummy
"""Listen, papa,"" he began, gasping for breath.",AC,dummy
"I beg you to end this, for...""  ""Hold your tongue!""",AC,dummy
"the father shouted at him, and so loudly that the spectacles fell off his nose; ""hold your tongue!""",AC,dummy
"I used to be able to put up with such scenes, but... but now I have got out of the way of it.",AC,dummy
"cried the father, and he stamped with his feet.",AC,dummy
"I shall say what I like, and you hold your tongue.",AC,dummy
"At your age I was earning my living, while you... Do you know what you cost me, you scoundrel?",AC,dummy
"""Yevgraf Ivanovitch,"" muttered Fedosya Semyonovna, moving her fingers nervously; ""you know he... you know Petya...!""",AC,dummy
"Shiryaev shouted out to her, and tears actually came into his eyes from anger.",AC,dummy
"He has no respect for us, does not say his prayers, and earns nothing!",AC,dummy
"The daughter Varvara gazed fixedly at her mother with her mouth open, moved her vacant-looking eyes to the window, turned pale, and, uttering a loud shriek, fell back in her chair.",AC,dummy
"The father, with a curse and a wave of the hand, ran out into the yard.",AC,dummy
"But on this occasion, unfortunately, Pyotr the student was carried away by overmastering anger.",AC,dummy
"He was just as hasty and ill-tempered as his father and his grandfather the priest, who used to beat his parishioners about the head with a stick.",AC,dummy
"Pale and clenching his fists, he went up to his mother and shouted in the very highest tenor note his voice could reach:  ""These reproaches are loathsome!",AC,dummy
"The mother huddled against the wall and waved her hands, as though it were not her son, but some phantom before her.",AC,dummy
"Like his father, the boy waved his hands and ran into the yard.",AC,dummy
"Its sides were overgrown with oak saplings and alders, and a stream ran at the bottom.",AC,dummy
"On one side the house looked towards the ravine, on the other towards the open country, there were no fences nor hurdles.",AC,dummy
"Instead there were farm-buildings of all sorts close to one another, shutting in a small space in front of the house which was regarded as the yard, and in which hens, ducks, and pigs ran about.",AC,dummy
"Going out of the house, the student walked along the muddy road towards the open country.",AC,dummy
"The road was muddy, puddles gleamed here and there, and in the yellow fields autumn itself seemed looking out from the grass, dismal, decaying, dark.",AC,dummy
"On the right-hand side of the road was a vegetable-garden cleared of its crops and gloomy-looking, with here and there sunflowers standing up in it with hanging heads already black.",AC,dummy
"Pyotr thought it would not be a bad thing to walk to Moscow on foot; to walk just as he was, with holes in his boots, without a cap, and without a farthing of money.",AC,dummy
"When he had gone eighty miles his father, frightened and aghast, would overtake him, would begin begging him to turn back or take the money, but he would not even look at him, but would go on and on.... Bare forests would be followed by desolate fields, fields by forests again; soon the earth would be white with the first snow, and the streams would be coated with ice.... Somewhere near Kursk or near Serpuhovo, exhausted and dying of hunger, he would sink down and die.",AC,dummy
"His corpse would be found, and there would be a paragraph in all the papers saying that a student called Shiryaev had died of hunger....  A white dog with a muddy tail who was wandering about the vegetable-garden looking for something gazed at him and sauntered after him.",AC,dummy
"He walked along the road and thought of death, of the grief of his family, of the moral sufferings of his father, and then pictured all sorts of adventures on the road, each more marvellous than the one before—picturesque places, terrible nights, chance encounters.",AC,dummy
"He imagined a string of pilgrims, a hut in the forest with one little window shining in the darkness; he stands before the window, begs for a night's lodging....",AC,dummy
"They let him in, and suddenly he sees that they are robbers.",AC,dummy
"Or, better still, he is taken into a big manor-house, where, learning who he is, they give him food and drink, play to him on the piano, listen to his complaints, and the daughter of the house, a beauty, falls in love with him.",AC,dummy
"Absorbed in his bitterness and such thoughts, young Shiryaev walked on and on.",AC,dummy
"Far, far ahead he saw the inn, a dark patch against the grey background of cloud.",AC,dummy
"Beyond the inn, on the very horizon, he could see a little hillock; this was the railway-station.",AC,dummy
"That hillock reminded him of the connection existing between the place where he was now standing and Moscow, where street-lamps were burning and carriages were rattling in the streets, where lectures were being given.",AC,dummy
"The solemn landscape, with its order and beauty, the deathlike stillness all around, revolted him and moved him to despair and hatred!",AC,dummy
"An old lady of his acquaintance, a landowner of the neighbourhood, drove past him in a light, elegant landau.",AC,dummy
"He bowed to her, and smiled all over his face.",AC,dummy
"And at once he caught himself in that smile, which was so out of keeping with his gloomy mood.",AC,dummy
"And he thought nature itself had given man this capacity for lying, that even in difficult moments of spiritual strain he might be able to hide the secrets of his nest as the fox and the wild duck do.",AC,dummy
"Every family has its joys and its horrors, but however great they may be, it's hard for an outsider's eye to see them; they are a secret.",AC,dummy
"The father of the old lady who had just driven by, for instance, had for some offence lain for half his lifetime under the ban of the wrath of Tsar Nicolas I.; her husband had been a gambler; of her four sons, not one had turned out well.",AC,dummy
"One could imagine how many terrible scenes there must have been in her life, how many tears must have been shed.",AC,dummy
"And yet the old lady seemed happy and satisfied, and she had answered his smile by smiling too.",AC,dummy
"The student thought of his comrades, who did not like talking about their families; he thought of his mother, who almost always lied when she had to speak of her husband and children....  Pyotr walked about the roads far from home till dusk, abandoning himself to dreary thoughts.",AC,dummy
"As he walked back he made up his mind at all costs to talk to his father, to explain to him, once and for all, that it was dreadful and oppressive to live with him.",AC,dummy
"His sister Varvara was lying behind a screen with a headache, moaning faintly.",AC,dummy
